locat176 comcat.ComcatLocalCatalog test3 opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt us20003k7a 30.000 90.0 400.0 3.5
Loading catalog: [opensha-oaf/deployment/scripts/utsh/locat/cat_2015_m4.txt]
Fetching event: us20003k7a
ObsEqkRupture:
rup_event_id = us20003k7a
rup_time = 1442444072860 (2015-09-16 22:54:32 UTC)
rup_mag = 8.3
rup_lat = -31.5729
rup_lon = -71.6744
rup_depth = 22.44
description = 48km W of Illapel, Chile
ids = ,us20003k7a,gcmt20150916225432,gcmt20150916225433,at00nuskyv,pt15259054,atlas20150916225432,
net = us
code = 20003k7a

Fetching event list
min_days = 30.0
max_days = 90.0
radius_km = 400.0
min_mag = 3.5
Events returned by fetchEventList = 209
List of events returned by fetchEventList:
111: us10003x94 (time = 2015-11-11 02:23:39 UTC, mag = 5.100, lat = -29.46580, lon = -71.92880, depth = 10.000)
112: us10003x96 (time = 2015-11-11 02:18:04 UTC, mag = 4.800, lat = -29.40890, lon = -71.90350, depth = 15.160)
113: us10003x90 (time = 2015-11-11 02:14:39 UTC, mag = 4.800, lat = -29.49500, lon = -72.06180, depth = 10.000)
114: us10003xa2 (time = 2015-11-11 02:06:36 UTC, mag = 4.900, lat = -29.46810, lon = -71.92800, depth = 10.000)
115: us100041dt (time = 2015-11-11 02:01:05 UTC, mag = 5.100, lat = -29.55980, lon = -72.11010, depth = 10.000)
116: us10003x8t (time = 2015-11-11 01:54:38 UTC, mag = 6.900, lat = -29.50670, lon = -72.00680, depth = 12.000)
117: us10003x7z (time = 2015-11-10 23:48:25 UTC, mag = 4.400, lat = -29.50190, lon = -72.10780, depth = 10.000)
118: us10003y1w (time = 2015-11-10 23:28:17 UTC, mag = 4.300, lat = -30.38280, lon = -71.94770, depth = 17.730)
119: us10003x44 (time = 2015-11-10 19:38:22 UTC, mag = 4.100, lat = -30.88460, lon = -71.50160, depth = 43.860)
120: us10003wa5 (time = 2015-11-10 12:58:38 UTC, mag = 4.600, lat = -30.80450, lon = -71.37060, depth = 43.180)
121: us10003w9k (time = 2015-11-10 11:43:46 UTC, mag = 4.200, lat = -29.43890, lon = -72.22540, depth = 3.920)
122: us10003w6t (time = 2015-11-10 04:13:17 UTC, mag = 4.300, lat = -29.43000, lon = -71.95590, depth = 9.140)
123: us10003w6s (time = 2015-11-10 04:09:09 UTC, mag = 4.300, lat = -29.44910, lon = -71.91440, depth = 35.000)
124: us10003xve (time = 2015-11-09 15:43:06 UTC, mag = 4.400, lat = -31.77870, lon = -72.14210, depth = 10.000)
125: us10003xvk (time = 2015-11-09 14:59:20 UTC, mag = 4.500, lat = -29.46080, lon = -72.21700, depth = 10.000)
126: us10003vwh (time = 2015-11-09 05:50:28 UTC, mag = 4.300, lat = -30.27700, lon = -71.38800, depth = 50.100)
127: us10003ze5 (time = 2015-11-09 03:01:52 UTC, mag = 4.100, lat = -30.26420, lon = -71.44160, depth = 40.020)
128: us10003vu5 (time = 2015-11-08 21:42:28 UTC, mag = 4.100, lat = -31.78750, lon = -72.19170, depth = 13.200)
129: us10003vmn (time = 2015-11-07 23:56:21 UTC, mag = 4.300, lat = -30.71400, lon = -71.38500, depth = 47.300)
130: us10003vm5 (time = 2015-11-07 22:23:53 UTC, mag = 4.600, lat = -31.42840, lon = -72.02840, depth = 8.150)
131: us10003vji (time = 2015-11-07 12:28:33 UTC, mag = 4.100, lat = -30.75600, lon = -71.42400, depth = 50.700)
132: us10003vj4 (time = 2015-11-07 11:51:29 UTC, mag = 4.400, lat = -30.69800, lon = -71.63200, depth = 27.500)
133: us10003vij (time = 2015-11-07 10:53:44 UTC, mag = 5.700, lat = -30.72270, lon = -71.39040, depth = 42.000)
134: us10003vig (time = 2015-11-07 10:38:24 UTC, mag = 4.000, lat = -30.76080, lon = -71.69910, depth = 38.720)
135: us10003vie (time = 2015-11-07 10:31:20 UTC, mag = 4.900, lat = -30.79110, lon = -71.45210, depth = 42.260)
136: us10003vi4 (time = 2015-11-07 09:30:59 UTC, mag = 4.600, lat = -30.92780, lon = -71.79060, depth = 34.670)
137: us10003vi2 (time = 2015-11-07 09:17:00 UTC, mag = 4.600, lat = -30.84120, lon = -71.37030, depth = 43.230)
138: us10003vgt (time = 2015-11-07 07:31:43 UTC, mag = 6.800, lat = -30.87960, lon = -71.45190, depth = 46.000)
139: us10003vgi (time = 2015-11-07 07:04:31 UTC, mag = 6.200, lat = -29.46420, lon = -72.30150, depth = 13.000)
140: us10003vey (time = 2015-11-07 01:34:51 UTC, mag = 4.800, lat = -30.03030, lon = -72.05500, depth = 8.850)
141: us10003w8w (time = 2015-11-06 20:50:58 UTC, mag = 4.100, lat = -33.32260, lon = -72.43760, depth = 17.240)
142: us10003v5a (time = 2015-11-06 08:44:07 UTC, mag = 5.400, lat = -30.14240, lon = -72.26160, depth = 8.490)
143: us10003v57 (time = 2015-11-06 08:20:10 UTC, mag = 4.200, lat = -30.25570, lon = -72.11600, depth = 8.670)
144: us10003v47 (time = 2015-11-06 04:57:05 UTC, mag = 4.500, lat = -30.37720, lon = -72.05360, depth = 11.510)
145: us10003uwn (time = 2015-11-05 17:02:39 UTC, mag = 4.400, lat = -30.69830, lon = -71.78150, depth = 25.930)
146: us10003ut1 (time = 2015-11-05 01:28:44 UTC, mag = 4.000, lat = -30.74890, lon = -71.51250, depth = 37.980)
147: us200041tc (time = 2015-11-04 01:22:11 UTC, mag = 4.000, lat = -30.34090, lon = -71.93400, depth = 19.070)
148: us200041rq (time = 2015-11-03 21:30:17 UTC, mag = 4.200, lat = -30.79600, lon = -71.41100, depth = 49.600)
149: us200041j9 (time = 2015-11-03 10:28:58 UTC, mag = 4.100, lat = -31.20330, lon = -72.20470, depth = 4.120)
